Genres;1970;1971;1972;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
ACTION;1;2;1;1;1;0;2;4;4;2;3;6;6;7;4;5;5;8;6;4;4;8;8;8;12;13;10;13;15;16;20;22;26;25;27;36;46;49;51;55;52;62;56;59;76;71;61;65;74;63;70;32
ADVENTURE;0;1;1;1;1;1;3;8;8;3;4;7;6;6;4;9;4;7;6;6;7;9;7;10;17;16;15;14;16;17;18;24;29;30;29;30;37;35;37;33;32;37;31;40;40;41;35;38;43;42;42;23
AVANTGARDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;2;1;1;1;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0
AWARDWINNING;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOYSLOVE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;1;1;5;3;1;0;3;2;3;1;1
COMEDY;0;1;1;0;0;0;1;1;3;2;2;2;3;4;2;5;5;9;12;15;13;17;15;22;27;27;23;20;19;22;25;30;35;42;47;47;58;64;59;69;70;81;78;86;84;79;70;84;74;75;71;50
DRAMA;1;1;0;1;1;2;3;9;8;3;3;4;3;4;7;7;7;12;10;5;9;9;13;15;24;18;21;20;21;20;16;22;27;35;37;37;40;35;37;29;40;41;43;36;39;44;42;45;47;34;47;18
ECCHI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;2;1;1;1;1;1;2;1;1;1;2;2;2;4;6;4;12;5;7;10;6;6;3;4;4;5;3
FANTASY;0;0;0;0;0;0;0;0;2;1;1;1;1;2;2;5;3;3;6;5;6;7;5;6;9;6;6;4;10;10;8;16;17;18;23;21;26;23;26;32;31;31;33;41;44;40;55;43;49;51;56;25
GIRLSLOVE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;2;1;2;1;0;1;0;1;1;0;0;3;0;1;2;1;1;0;0
GOURMET;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;2;1;2;3;3;2;3;2;2;3;3;6;3;1;2;1
HORROR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;2;3;1;2;2;1;0;1;2;9;5;1;1;2;2;6;2;2;3;6;1;1;1;2;1;0
MYSTERY;0;1;1;0;0;0;1;2;3;1;0;0;0;0;0;0;1;2;2;1;1;0;2;1;1;3;5;6;8;8;6;9;8;11;15;17;17;18;21;14;13;14;9;14;14;18;14;9;12;10;11;3
NONE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;1;1;2;1;1;3;4;6;4;9;7;9;3
ROMANCE;0;0;0;0;0;0;0;0;1;1;1;2;3;4;4;6;3;5;4;6;7;8;11;15;20;17;10;8;13;14;13;16;16;21;21;23;31;32;32;29;26;35;27;37;36;26;23;30;26;25;29;16
SCIFI;0;0;0;1;2;1;2;6;7;4;5;10;8;8;6;8;6;10;8;8;6;8;11;11;19;12;12;16;16;17;14;16;22;22;23;25;25;28;29;30;28;33;31;28;33;30;27;24;32;26;31;19
SLICEOFLIFE;1;1;0;0;0;2;2;3;2;1;1;0;0;0;2;2;3;4;4;7;8;7;5;5;7;7;6;7;8;6;7;10;12;10;14;15;20;16;19;21;25;32;34;36;29;34;37;44;31;34;40;27
SPORTS;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;2;2;2;2;3;5;5;2;1;1;1;2;6;5;7;4;7;5;8;9;9;9;8;9;13;18;19;13;13;11;11;12;9;6
SUPERNATURAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;1;2;2;2;2;1;5;9;9;9;9;13;22;22;26;20;26;32;36;32;29;30;35;29;29;28;22;33;9
SUSPENSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;5;5;5;8;11;11;4;6;5;3;1;3;1;0;1;3;2;3;1
