studi_desagregat;genere_desagregat;V1
MADHOUSE;DRAMA;46
MADHOUSE;COMEDY;32
MADHOUSE;ACTION;29
MADHOUSE;ADVENTURE;25
MADHOUSE;FANTASY;25
MADHOUSE;ROMANCE;23
MADHOUSE;SCIFI;18
MADHOUSE;SPORTS;17
MADHOUSE;SUPERNATURAL;17
MADHOUSE;SLICEOFLIFE;16
MADHOUSE;MYSTERY;12
MADHOUSE;SUSPENSE;12
MADHOUSE;HORROR;7
MADHOUSE;AVANTGARDE;3
MADHOUSE;ECCHI;2
PRODUCTIONIG;SPORTS;40
PRODUCTIONIG;ACTION;39
PRODUCTIONIG;SCIFI;35
PRODUCTIONIG;DRAMA;26
PRODUCTIONIG;COMEDY;23
PRODUCTIONIG;MYSTERY;19
PRODUCTIONIG;FANTASY;14
PRODUCTIONIG;ROMANCE;14
PRODUCTIONIG;SUPERNATURAL;13
PRODUCTIONIG;SLICEOFLIFE;8
PRODUCTIONIG;SUSPENSE;8
PRODUCTIONIG;ADVENTURE;7
PRODUCTIONIG;AVANTGARDE;2
PRODUCTIONIG;HORROR;1
PRODUCTIONIG;NONE;1
STUDIODEEN;COMEDY;44
STUDIODEEN;DRAMA;37
STUDIODEEN;ACTION;27
STUDIODEEN;SUPERNATURAL;27
STUDIODEEN;ROMANCE;26
STUDIODEEN;FANTASY;18
STUDIODEEN;BOYSLOVE;13
STUDIODEEN;ADVENTURE;11
STUDIODEEN;MYSTERY;9
STUDIODEEN;SLICEOFLIFE;8
STUDIODEEN;SUSPENSE;4
STUDIODEEN;GIRLSLOVE;4
STUDIODEEN;SCIFI;4
STUDIODEEN;HORROR;3
STUDIODEEN;ECCHI;2
STUDIODEEN;AVANTGARDE;1
STUDIODEEN;SPORTS;1
SUNRISE;ACTION;69
SUNRISE;SCIFI;65
SUNRISE;COMEDY;42
SUNRISE;DRAMA;39
SUNRISE;ADVENTURE;20
SUNRISE;ROMANCE;19
SUNRISE;SLICEOFLIFE;13
SUNRISE;FANTASY;11
SUNRISE;SUPERNATURAL;11
SUNRISE;MYSTERY;10
SUNRISE;NONE;5
SUNRISE;GOURMET;2
SUNRISE;SPORTS;1
SUNRISE;GIRLSLOVE;1
TOEIANIMATION;ACTION;53
TOEIANIMATION;ADVENTURE;52
TOEIANIMATION;FANTASY;50
TOEIANIMATION;COMEDY;34
TOEIANIMATION;DRAMA;33
TOEIANIMATION;SCIFI;21
TOEIANIMATION;ROMANCE;19
TOEIANIMATION;SUPERNATURAL;8
TOEIANIMATION;MYSTERY;6
TOEIANIMATION;SPORTS;5
TOEIANIMATION;SLICEOFLIFE;5
TOEIANIMATION;HORROR;3
TOEIANIMATION;NONE;1
TOEIANIMATION;GOURMET;1
TOEIANIMATION;ECCHI;1
